#,Timestamp,ID (hex),DLC,Data (hex),Type
318,16:25:20.600,0x032,8,00 00 01 00 00 00 00 01,STD
319,16:25:20.632,0x034,8,04 00 00 00 00 00 00 00,STD
320,16:25:20.648,0x035,8,01 00 38 00 00 00 1F 00,STD
321,16:25:20.679,0x05A,8,00 00 00 00 00 00 00 00,STD
322,16:25:20.695,0x05B,8,7F 00 00 00 04 00 00 00,STD
323,16:25:20.726,0x083,8,00 00 95 0B 93 0B 38 04,STD
324,16:25:20.758,0x084,8,85 85 01 01 00 06 2B 01,STD
325,16:25:20.773,0x033,8,00 00 64 64 00 00 00 00,STD
326,16:25:20.805,0x085,8,00 00 03 00 00 00 01 00,STD
327,16:25:20.821,0x086,8,02 5C 02 1E 00 01 01 01,STD
328,16:25:20.853,0x087,8,00 04 01 64 01 01 09 03,STD
329,16:25:20.868,0x088,8,01 1E 28 42 58 00 00 00,STD
330,16:25:20.900,0x089,8,01 04 04 04 04 00 00 00,STD
331,16:25:20.916,0x08A,8,01 00 00 00 00 00 00 00,STD
332,16:25:20.948,0x032,8,00 00 01 00 00 00 00 01,STD
333,16:25:20.980,0x08C,8,00 00 00 00 00 00 00 00,STD
334,16:25:20.995,0x08D,8,01 00 02 00 00 00 00 04,STD
335,16:25:21.027,0x08E,8,00 02 00 00 14 14 00 00,STD
336,16:25:21.043,0x08F,8,0D 00 03 01 00 00 00 00,STD
337,16:25:21.074,0x091,8,01 03 00 00 00 00 02 00,STD
338,16:25:21.074,0x0CA,8,86 01 00 00 00 00 00 00,STD
339,16:25:21.074,0x0CA,8,86 01 00 00 00 00 00 00,STD
340,16:25:21.090,0x092,8,00 01 01 01 03 02 02 03,STD
341,16:25:21.121,0x033,8,00 00 64 64 00 00 00 00,STD
342,16:25:21.137,0x093,8,01 01 39 0D 00 06 03 01,STD
343,16:25:21.419,0x036,8,00 00 00 00 00 00 00 00,STD
344,16:25:21.497,0x032,8,00 00 01 00 00 00 00 01,STD
345,16:25:21.529,0x027,8,F1 00 00 00 00 00 00 00,STD
346,16:25:21.592,0x02B,8,F0 00 00 00 00 00 00 00,STD
347,16:25:21.670,0x033,8,00 00 64 64 00 00 00 00,STD
348,16:25:21.686,0x034,8,04 00 00 00 00 00 00 00,STD
349,16:25:21.717,0x035,8,01 00 38 00 00 00 1F 00,STD
350,16:25:21.936,0x05A,8,00 00 00 00 00 00 00 00,STD
351,16:25:21.967,0x05B,8,7F 00 00 00 04 00 00 00,STD
352,16:25:21.983,0x083,8,00 00 95 0B 93 0B 38 04,STD
353,16:25:22.014,0x084,8,84 85 01 01 00 05 2B 01,STD
354,16:25:22.030,0x032,8,00 00 01 00 00 00 00 01,STD
355,16:25:22.061,0x085,8,00 00 03 00 00 00 01 00,STD
356,16:25:22.093,0x086,8,02 5C 02 1E 00 01 01 01,STD
357,16:25:22.108,0x087,8,00 04 01 64 01 01 09 03,STD
358,16:25:22.140,0x088,8,02 1E 28 42 58 00 00 00,STD
359,16:25:22.155,0x089,8,02 04 04 04 04 00 00 00,STD
360,16:25:22.187,0x08A,8,02 00 00 00 00 00 00 00,STD
361,16:25:22.202,0x033,8,00 00 64 64 00 00 00 00,STD
362,16:25:22.234,0x08C,8,00 00 00 00 00 00 00 00,STD
363,16:25:22.266,0x08D,8,01 00 02 00 00 00 00 04,STD
364,16:25:22.281,0x08E,8,00 02 00 00 14 14 00 00,STD
