CanID,Description,Bit,Variable,Function,Options,History,,,,,,,,,,,,,,,,,,,
91,Warnings 2 & Extra Data From PSU,4,HeatingNow,Current heating state,"4 to 30, 4=OFF, then 5 - 30 deg C",,,,,,,,,,,,,,,,,,,,
91,Warnings 2 & Extra Data From PSU,5,HotWaterNow,Current hot water state,"Alde 0=OFF, 1=Norml, 2=Boost, (Truma 0=OFF, 1=Eco, 2=Hot), (Whale 0=OFF, 1=ON)",,,,,,,,,,,,,,,,,,,,
91,Warnings 2 & Extra Data From PSU,6,HeatingError,"0=OK, 1 to 15 (see error list)",Whale system only,,,,,,,,,,,,,,,,,,,,
91,Warnings 2 & Extra Data From PSU,7,HotWaterError,"0=OK, 1 to 15 (see error list)",Whale system only,,,,,,,,,,,,,,,,,,,,
131,Levels 2 from PSU,0,FWaterL,Fresh water level (0-100),0-100%,,,,,,,,,,,,,,,,,,,,
131,Levels 2 from PSU,1,WWaterL,Waste water level (0-100),0-100%,,,,,,,,,,,,,,,,,,,,
131,Levels 2 from PSU,2,ExtTL,Low byte,External Temperature (change values to use Truma Kelvin method),,,,,,,,,,,,,,,,,,,,
131,Levels 2 from PSU,3,ExtTH,High byte,External Temperature (change values to use Truma Kelvin method),,,,,,,,,,,,,,,,,,,,
131,Levels 2 from PSU,4,IntTL,Low byte,Internal Temperature (change values to use Truma Kelvin method),,,,,,,,,,,,,,,,,,,,
131,Levels 2 from PSU,5,IntTH,High byte,Internal Temperature (change values to use Truma Kelvin method),,,,,,,,,,,,,,,,,,,,
131,Levels 2 from PSU,6,PSUSerial,PSU Software Number,"Sent to CP, i.e. 10 (0-99)",,,,,,,,,,,,,,,,,,,,
131,Levels 2 from PSU,7,ACLimit,AC limit setting returned from PSU,,,,,,,,,,,,,,,,,,,,,
132,Levels 3 from PSU,0,VBattV,Vehicle V,Voltage reading (132 = 13.2V),,,,,,,,,,,,,,,,,,,,
132,Levels 3 from PSU,1,LBattV,Leisure V,Voltage reading (132 = 13.2V),,,,,,,,,,,,,,,,,,,,
132,Levels 3 from PSU,2,BattAmp,Battery A,Current reading (21 = 2.1A),,,,,,,,,,,,,,,,,,,,
132,Levels 3 from PSU,3,BattAState,Battery current direction,0=discharge (-) 1=Charge (+),,,,,,,,,,,,,,,,,,,,
132,Levels 3 from PSU,4,SolAmp,Solar A,Current reading (21 = 2.1A),,,,,,,,,,,,,,,,,,,,
132,Levels 3 from PSU,5,ACAmps,AC Current,Current reading (21 = 2.1A),,,,,,,,,,,,,,,,,,,,
132,Levels 3 from PSU,6,Humidity,Humidity level,0 to 100%,,,,,,,,,,,,,,,,,,,,
132,Levels 3 from PSU,7,Entry,Entry light status,"1=on, 0=off",,,,,,,,,,,,,,,,,,,,
133,Current Options / Settings bank 3 from PSU,0,Electric,Heater electric setting or Whale Water heater setting,"Alde 0=Off, 1=1KW, 2=2KW, 3=3KW
Truma 0=GAS, 1=MIX1, 2=MIX2, 3=EL1, 4=EL2
Whale 0=OFF, 1=GAS, 2=EL1, 3=EL2, 4=MIX1, 5=MIX2
Webasto Mode 0=OFF, 1=Park Heating, 2=[not used], 3=Ventilation, 4=Heating Boost, 5=Heating Eco
",,,,,,,,,,,,,,,,,,,,
133,Current Options / Settings bank 3 from PSU,1,Gas,Heater gas setting or  Whale Air heater setting,"Alde 0=off, 1=on (use gas)
Truma <this setting is skipped>
Whale 0=OFF, 1=FAN, 2=GAS, 3=EL1, 4=EL2, 5=EL3, 6=Night, 7=Frost (6&7 new for 2026)
Webasto Power 0 to 100 (0% to 100%)",,,,,,,,,,,,,,,,,,,,
133,Current Options / Settings bank 3 from PSU,2,Heat,Ci-Bus Heating appliance selection,"0=None, 1=Alde, 2= Truma CP+, 3=Whale, 4=Eberspacher, 5 = Whale Ci-Bus",,,,,,,,,,,,,,,,,,,,
133,Current Options / Settings bank 3 from PSU,3,Cool,Ci-Bus Aircon appliance selection,"0=None, 
1=Truma Aventa C, 
2=Dometic FreshJet 2200, 
3=Truma Aventa E
4=Truma Saphir CRC
5=Truma Saphir C",,,,,,,,,,,,,,,,,,,,
133,Current Options / Settings bank 3 from PSU,4,Fridge,Ci-Bus Fridge appliance selection,"0=None, 1=Dometic1, 2=Dometic2, 3=Thetford",,,,,,,,,,,,,,,,,,,,
133,Current Options / Settings bank 3 from PSU,5,ATC,Ci-Bus ATC appliance selection,"0=None, 1=Al-Ko1, 2=Al-Ko2",,,,,,,,,,,,,,,,,,,,
133,Current Options / Settings bank 3 from PSU,6,Enroute,Enroute enable,"0=None, 1=Active",,,,,,,,,,,,,,,,,,,,
133,Current Options / Settings bank 3 from PSU,7,Mod1,Caravan Radio Module,"0=None
1=DAB / FM 2 speaker
2=DAB / FM 4 speaker
3=FM 2 speaker
4=FM 4 speaker",,,,,,,,,,,,,,,,,,,,
134,Current Options / Settings bank 1 from PSU,0,StepAuto,Step automation setting,"0=none, 1=lock, 2=unlock, 3=both",,,,,,,,,,,,,,,,,,,,
174,Change Options / Settings bank 1,0,StepAuto,Step automation setting,"0=none,1=lock,2=unlock,3=both",,,,,,,,,,,,,,,,,,,,
